date,home,away,rating_home,rating_away,home_goals,away_goals,neutral,stage
2022-11-20,QAT,ECU,1439,1464,0,2,1,group
2022-11-21,SEN,NED,1593,1694,0,2,1,group
2022-11-25,QAT,SEN,1439,1593,1,3,1,group
2022-11-25,NED,ECU,1694,1464,1,1,1,group
2022-11-29,ECU,SEN,1464,1593,1,2,1,group
2022-11-29,NED,QAT,1694,1439,2,0,1,group
2022-11-21,ENG,IRN,1728,1564,6,2,1,group
2022-11-21,USA,WAL,1627,1582,1,1,1,group
2022-11-25,WAL,IRN,1582,1564,0,2,1,group
2022-11-25,ENG,USA,1728,1627,0,0,1,group
2022-11-29,WAL,ENG,1582,1728,0,3,1,group
2022-11-29,IRN,USA,1564,1627,0,1,1,group
2022-11-22,ARG,KSA,1773,1437,1,2,1,group
2022-11-22,MEX,POL,1644,1548,0,0,1,group
2022-11-26,POL,KSA,1548,1437,2,0,1,group
2022-11-26,ARG,MEX,1773,1644,2,0,1,group
2022-11-30,POL,ARG,1548,1773,0,2,1,group
2022-11-30,KSA,MEX,1437,1644,1,2,1,group
2022-11-22,DEN,TUN,1666,1507,0,0,1,group
2022-11-22,FRA,AUS,1759,1488,4,1,1,group
2022-11-26,TUN,AUS,1507,1488,0,1,1,group
2022-11-26,FRA,DEN,1759,1666,2,1,1,group
2022-11-30,AUS,DEN,1488,1666,1,0,1,group
2022-11-30,TUN,FRA,1507,1759,1,0,1,group
2022-11-23,GER,JPN,1650,1559,1,2,1,group
2022-11-23,ESP,CRC,1715,1503,7,0,1,group
2022-11-27,JPN,CRC,1559,1503,0,1,1,group
2022-11-27,ESP,GER,1715,1650,1,1,1,group
2022-12-01,JPN,ESP,1559,1715,2,1,1,group
2022-12-01,CRC,GER,1503,1650,2,4,1,group
2022-11-23,MAR,CRO,1563,1645,0,0,1,group
2022-11-23,BEL,CAN,1816,1475,1,0,1,group
2022-11-27,BEL,MAR,1816,1563,0,2,1,group
2022-11-27,CRO,CAN,1645,1475,4,1,1,group
2022-12-01,CRO,BEL,1645,1816,0,0,1,group
2022-12-01,CAN,MAR,1475,1563,1,2,1,group
2022-11-24,SUI,CMR,1621,1471,1,0,1,group
2022-11-24,BRA,SRB,1841,1549,2,0,1,group
2022-11-28,CMR,SRB,1471,1549,3,3,1,group
2022-11-28,BRA,SUI,1841,1621,1,0,1,group
2022-12-02,SRB,SUI,1549,1621,2,3,1,group
2022-12-02,CMR,BRA,1471,1841,1,0,1,group
2022-11-24,URU,KOR,1639,1530,0,0,1,group
2022-11-24,POR,GHA,1676,1389,3,2,1,group
2022-11-28,KOR,GHA,1530,1389,2,3,1,group
2022-11-28,POR,URU,1676,1639,2,0,1,group
2022-12-02,KOR,POR,1530,1676,2,1,1,group
2022-12-02,GHA,URU,1389,1639,0,2,1,group
2022-12-03,NED,USA,1694,1627,3,1,1,r16
2022-12-03,ARG,AUS,1773,1488,2,1,1,r16
2022-12-04,FRA,POL,1759,1548,3,1,1,r16
2022-12-04,ENG,SEN,1728,1593,3,0,1,r16
2022-12-05,JPN,CRO,1559,1645,1,1,1,r16
2022-12-05,BRA,KOR,1841,1530,4,1,1,r16
2022-12-06,MAR,ESP,1563,1715,0,0,1,r16
2022-12-06,POR,SUI,1676,1621,6,1,1,r16
2022-12-09,CRO,BRA,1645,1841,1,1,1,knockout
2022-12-09,NED,ARG,1694,1773,2,2,1,knockout
2022-12-10,MAR,POR,1563,1676,1,0,1,knockout
2022-12-10,ENG,FRA,1728,1759,1,2,1,knockout
2022-12-13,ARG,CRO,1773,1645,3,0,1,semifinal
2022-12-14,FRA,MAR,1759,1563,2,0,1,semifinal
2022-12-17,CRO,MAR,1645,1563,2,1,1,knockout
2022-12-18,ARG,FRA,1773,1759,3,3,1,final
