date,home,away,rating_home,rating_away,home_goals,away_goals,neutral,stage,form_sup,h2h_sup
2024-06-14,Germany,Scotland,1583.1,1422.6,5,1,0,competitive,0.0421,0.033
2024-06-15,Hungary,Switzerland,1480.9,1461.8,1,3,1,competitive,0.0621,-0.0717
2024-06-15,Spain,Croatia,1674.8,1631.2,3,0,1,competitive,0.037,0.1087
2024-06-15,Italy,Albania,1600.1,1272.8,2,1,1,competitive,0.0387,0.0813
2024-06-16,Slovenia,Denmark,1384.5,1489.4,1,1,1,competitive,-0.0138,-0.0432
2024-06-16,Serbia,England,1469.4,1639.1,0,1,1,competitive,-0.0521,-0.0021
2024-06-16,Poland,Netherlands,1401.9,1646.4,1,2,1,competitive,-0.0567,-0.0916
2024-06-17,Austria,France,1512.2,1737.7,0,1,1,competitive,-0.0047,-0.0631
2024-06-17,Romania,Ukraine,1306.9,1502.1,3,0,1,competitive,-0.0262,-0.0001
2024-06-17,Belgium,Slovakia,1648.2,1320.3,0,1,1,competitive,0.0715,0.0063
2024-06-18,Turkey,Georgia,1405.4,1325.8,3,1,1,competitive,-0.0604,0.0279
2024-06-18,Portugal,Czech Republic,1659.3,1424.0,2,1,1,competitive,0.0672,0.1891
2024-06-19,Germany,Hungary,1583.1,1480.9,2,0,0,competitive,-0.0893,-0.0073
2024-06-19,Scotland,Switzerland,1422.6,1461.8,1,1,1,competitive,-0.0692,-0.0055
2024-06-19,Croatia,Albania,1631.2,1272.8,2,2,1,competitive,0.0778,0.0
2024-06-20,Spain,Italy,1674.8,1600.1,1,0,1,competitive,0.0761,0.069
2024-06-20,Slovenia,Serbia,1384.5,1469.4,1,1,1,competitive,0.0769,-0.0764
2024-06-20,Denmark,England,1489.4,1639.1,1,1,1,competitive,0.0387,-0.013
2024-06-21,Poland,Austria,1401.9,1512.2,1,3,1,competitive,-0.0453,0.0311
2024-06-21,Netherlands,France,1646.4,1737.7,0,0,1,competitive,0.0068,-0.1324
2024-06-21,Slovakia,Ukraine,1320.3,1502.1,1,2,1,competitive,0.0173,0.0329
2024-06-22,Belgium,Romania,1648.2,1306.9,2,0,1,competitive,0.1151,-0.0013
2024-06-22,Georgia,Czech Republic,1325.8,1424.0,1,1,1,competitive,-0.079,0.0
2024-06-22,Turkey,Portugal,1405.4,1659.3,0,3,1,competitive,-0.2066,-0.0728
2024-06-23,Germany,Switzerland,1583.1,1461.8,1,1,0,competitive,-0.0271,0.0127
2024-06-23,Scotland,Hungary,1422.6,1480.9,0,1,1,competitive,-0.1314,0.0048
2024-06-24,Albania,Spain,1272.8,1674.8,0,1,1,competitive,-0.1148,-0.1096
2024-06-24,Croatia,Italy,1631.2,1600.1,1,1,1,competitive,0.039,0.0092
2024-06-25,England,Slovenia,1639.1,1384.5,0,0,1,competitive,-0.0249,0.0587
2024-06-25,Denmark,Serbia,1489.4,1469.4,0,0,1,competitive,0.0907,0.0968
2024-06-25,Netherlands,Austria,1646.4,1512.2,2,3,1,competitive,0.0115,0.1
2024-06-25,France,Poland,1737.7,1401.9,1,1,1,competitive,0.0499,0.077
2024-06-26,Slovakia,Romania,1320.3,1306.9,1,1,1,competitive,0.0435,-0.0191
2024-06-26,Ukraine,Belgium,1502.1,1648.2,0,0,1,competitive,-0.0888,0.0
2024-06-26,Georgia,Portugal,1325.8,1659.3,2,0,1,competitive,-0.1462,-0.0074
2024-06-26,Czech Republic,Turkey,1424.0,1405.4,1,2,1,competitive,0.1394,-0.0467
2024-06-29,Switzerland,Italy,1461.8,1600.1,2,0,1,competitive,-0.0396,-0.0765
2024-06-29,Germany,Denmark,1583.1,1489.4,2,0,0,competitive,-0.1028,0.0088
2024-06-30,England,Slovakia,1639.1,1320.3,2,1,1,competitive,-0.0017,0.0475
2024-06-30,Spain,Georgia,1674.8,1325.8,4,1,1,competitive,0.1328,0.273
2024-07-01,France,Belgium,1737.7,1648.2,1,0,1,competitive,-0.028,0.0476
2024-07-01,Portugal,Slovenia,1659.3,1384.5,0,0,1,competitive,0.0673,-0.0424
2024-07-02,Romania,Netherlands,1306.9,1646.4,0,3,1,competitive,-0.0938,-0.1161
2024-07-02,Austria,Turkey,1512.2,1405.4,1,2,1,competitive,0.155,0.0492
2024-07-05,Germany,Spain,1583.1,1674.8,1,2,0,competitive,-0.1428,-0.1213
2024-07-05,Portugal,France,1659.3,1737.7,0,0,1,competitive,0.0469,-0.0262
2024-07-06,England,Switzerland,1639.1,1461.8,1,1,1,competitive,0.037,0.0818
2024-07-06,Netherlands,Turkey,1646.4,1405.4,2,1,1,competitive,0.1665,0.0635
2024-07-09,Spain,France,1674.8,1737.7,2,1,1,competitive,0.0335,0.0035
2024-07-10,Netherlands,England,1646.4,1639.1,1,2,1,competitive,0.052,0.0491
2024-07-14,Spain,England,1674.8,1639.1,2,1,1,competitive,0.0787,0.0128
