match_id,expert_home,expert_away
A1,3,1
A2,1,1
B1,2,1
D1,2,1
C2,0,3
D2,0,2
C1,0,0
B2,0,3
E2,1,1
E1,5,0
F1,2,1
F2,1,0
H2,0,2
H1,4,0
G2,1,0
G1,2,0
I1,2,1
I2,0,3
J1,2,0
J2,3,0
L6,2,1
L1,1,0
K1,3,0
K2,0,2
A3,2,0
B3,1,0
B4,4,0
A4,2,1
C6,6,0
C5,0,1
D4,2,0
D3,1,1
E4,3,1
E3,3,0
F4,2,0
F3,2,0
H3,3,0
H4,2,0
G4,3,0
G3,2,0
I4,1,1
I3,4,0
J3,2,1
J4,0,2
L3,2,0
L2,0,2
K4,4,0
K3,3,1
C4,2,0
C3,3,0
B5,1,1
B6,2,0
A5,1,0
A6,0,2
E5,0,4
E6,1,1
F5,1,1
F6,0,3
D6,2,2
D5,1,0
I5,1,2
I6,2,0
G5,1,1
G6,0,4
H5,1,1
H6,0,1
L5,0,4
L4,1,1
J5,1,2
J6,0,4
K6,1,1
K5,1,1
