match_id,dec_home,dec_draw,dec_away,p_home,p_draw,p_away,bookmaker,captured_at
A1,1.36,4.5,8.5,,,,paddypower,2026-06-07
A2,2.67,3.15,2.94,,,,marathonbet,2026-06-07
A3,2.0,3.3,4.1,,,,leovegas_se,2026-06-07
A4,1.8,3.5,4.8,,,,leovegas_se,2026-06-07
A5,1.9,3.4,4.2,,,,betfred_uk,2026-06-07
A6,3.8,3.3,1.95,,,,unibet_uk,2026-06-07
B1,1.83,3.6,4.7,,,,unibet_nl,2026-06-07
B2,14.0,6.1,1.23,,,,casumo,2026-06-07
B3,1.57,3.9,6.1,,,,leovegas_se,2026-06-07
B4,1.28,4.7,8.0,,,,winamax_de,2026-06-07
B5,3.5,3.2,2.05,,,,tipico_de,2026-06-07
B6,1.5,4.0,6.2,,,,unibet_fr,2026-06-07
C1,1.62,3.75,5.0,,,,paddypower,2026-06-07
C2,6.5,4.33,1.44,,,,paddypower,2026-06-07
C3,1.3,5.0,8.5,,,,tipico_de,2026-06-07
C4,1.45,4.7,6.5,,,,pmu_fr,2026-06-07
C5,3.65,3.15,1.9,,,,winamax_de,2026-06-07
C6,1.06,12.5,31.0,,,,grosvenor,2026-06-07
D1,1.95,3.3,4.0,,,,paddypower,2026-06-07
D2,4.8,3.6,1.77,,,,casumo,2026-06-07
D3,2.2,3.2,3.35,,,,grosvenor,2026-06-07
D4,1.7,3.6,4.75,,,,skybet,2026-06-07
D5,2.0,3.05,3.1,,,,winamax_de,2026-06-07
D6,2.4,3.1,2.25,,,,winamax_fr,2026-06-07
E1,1.04,19.0,41.0,,,,paddypower,2026-06-07
E2,3.5,2.75,2.4,,,,paddypower,2026-06-07
E3,1.16,6.5,10.0,,,,winamax_de,2026-06-07
E4,1.56,3.95,5.6,,,,grosvenor,2026-06-07
E5,12.0,5.75,1.23,,,,unibet_uk,2026-06-07
E6,5.0,3.8,1.62,,,,unibet_uk,2026-06-07
F1,1.95,3.6,3.6,,,,paddypower,2026-06-07
F2,1.93,3.35,4.3,,,,leovegas,2026-06-07
F3,1.73,3.55,4.8,,,,grosvenor,2026-06-07
F4,1.65,3.75,5.1,,,,grosvenor,2026-06-07
F5,3.15,3.15,1.94,,,,winamax_de,2026-06-07
F6,6.5,4.0,1.5,,,,skybet,2026-06-07
G1,1.62,3.8,5.0,,,,paddypower,2026-06-07
G2,1.91,3.47,4.46,,,,pinnacle,2026-06-07
G3,1.72,3.6,5.2,,,,pmu_fr,2026-06-07
G4,1.37,4.59,7.65,,,,pinnacle,2026-06-07
G5,3.45,2.9,2.16,,,,smarkets,2026-06-07
G6,11.0,5.0,1.29,,,,betfred_uk,2026-06-07
H1,1.07,12.0,23.0,,,,paddypower,2026-06-07
H2,7.0,4.33,1.44,,,,paddypower,2026-06-07
H3,1.45,4.35,7.5,,,,pmu_fr,2026-06-07
H4,1.09,10.6,30.0,,,,onexbet,2026-06-07
H5,2.55,3.1,2.7,,,,tipico_de,2026-06-07
H6,5.0,3.8,1.62,,,,skybet,2026-06-07
I1,1.4,4.33,7.0,,,,paddypower,2026-06-07
I2,16.0,7.4,1.24,,,,smarkets,2026-06-07
I3,1.1,7.5,23.0,,,,unibet_uk,2026-06-07
I4,2.17,3.5,3.45,,,,unibet_nl,2026-06-07
I5,4.0,3.3,1.86,,,,smarkets,2026-06-07
I6,1.53,4.31,6.94,,,,gtbets,2026-06-07
J1,1.36,4.5,9.0,,,,paddypower,2026-06-07
J2,1.3,5.5,10.0,,,,casumo,2026-06-07
J3,1.62,3.75,5.25,,,,unibet_uk,2026-06-07
J4,6.1,4.0,1.61,,,,unibet_nl,2026-06-07
J5,3.25,3.1,2.2,,,,unibet_uk,2026-06-07
J6,14.0,6.2,1.17,,,,tipico_de,2026-06-07
K1,1.25,5.5,11.0,,,,unibet_uk,2026-06-07
K2,8.5,4.5,1.36,,,,paddypower,2026-06-07
K3,1.49,4.1,7.5,,,,casumo,2026-06-07
K4,1.21,5.6,8.5,,,,winamax_de,2026-06-07
K5,2.38,3.2,3.1,,,,betfred_uk,2026-06-07
K6,3.4,3.25,2.14,,,,grosvenor,2026-06-07
L1,1.7,3.7,4.75,,,,paddypower,2026-06-07
L2,6.0,4.0,1.43,,,,winamax_de,2026-06-07
L3,1.26,5.1,7.75,,,,winamax_de,2026-06-07
L4,1.6,3.7,5.2,,,,tipico_de,2026-06-07
L5,8.5,5.5,1.27,,,,tipico_de,2026-06-07
L6,2.05,3.3,3.6,,,,paddypower,2026-06-07
