match_id,group_id,stage,home_id,away_id,kickoff,venue,status,minute,home_goals,away_goals,doc_pred_home,doc_pred_away,red_home,red_away
A1,A,group,MEX,RSA,2026-06-11 22:00,Mexico City,finished,96,2.0,0.0,3,1,1.0,2.0
A2,A,group,KOR,CZE,2026-06-12 05:00,,finished,96,2.0,1.0,1,1,0.0,0.0
A3,A,group,CZE,RSA,2026-06-18 19:00,,scheduled,0,,,2,0,,
A4,A,group,MEX,KOR,2026-06-19 04:00,Monterrey,scheduled,0,,,2,1,,
A5,A,group,MEX,CZE,2026-06-25 04:00,,scheduled,0,,,1,0,,
A6,A,group,RSA,KOR,2026-06-25 04:00,,scheduled,0,,,0,2,,
B1,B,group,CAN,BIH,2026-06-12 22:00,Toronto,finished,96,1.0,1.0,2,1,0.0,0.0
B2,B,group,QAT,SUI,2026-06-13 22:00,,finished,96,1.0,1.0,0,3,0.0,0.0
B3,B,group,SUI,BIH,2026-06-18 22:00,,scheduled,0,,,1,0,,
B4,B,group,CAN,QAT,2026-06-19 01:00,Vancouver,scheduled,0,,,4,0,,
B5,B,group,CAN,SUI,2026-06-24 22:00,,scheduled,0,,,1,1,,
B6,B,group,BIH,QAT,2026-06-24 22:00,,scheduled,0,,,2,0,,
C1,C,group,BRA,MAR,2026-06-14 01:00,,finished,96,1.0,1.0,0,0,0.0,0.0
C2,C,group,HAI,SCO,2026-06-14 04:00,,finished,96,0.0,1.0,0,3,0.0,0.0
C3,C,group,MAR,HAI,2026-06-25 01:00,Atlanta,scheduled,0,,,3,0,,
C4,C,group,BRA,SCO,2026-06-25 01:00,Miami,scheduled,0,,,2,0,,
C5,C,group,SCO,MAR,2026-06-20 01:00,,scheduled,0,,,0,1,,
C6,C,group,BRA,HAI,2026-06-20 03:30,,scheduled,0,,,6,0,,
D1,D,group,USA,PAR,2026-06-13 04:00,Los Angeles,finished,96,4.0,1.0,2,1,0.0,0.0
D2,D,group,AUS,TUR,2026-06-14 07:00,,finished,96,2.0,0.0,0,2,0.0,0.0
D3,D,group,TUR,PAR,2026-06-20 06:00,,scheduled,0,,,1,1,,
D4,D,group,USA,AUS,2026-06-19 22:00,Seattle,scheduled,0,,,2,0,,
D5,D,group,PAR,AUS,2026-06-26 05:00,,scheduled,0,,,1,0,,
D6,D,group,TUR,USA,2026-06-26 05:00,,scheduled,0,,,2,2,,
E1,E,group,GER,CUW,2026-06-14 20:00,,finished,96,7.0,1.0,5,0,0.0,0.0
E2,E,group,CIV,ECU,2026-06-15 02:00,Philadelphia,finished,96,1.0,0.0,1,1,0.0,0.0
E3,E,group,ECU,CUW,2026-06-21 03:00,,scheduled,0,,,3,0,,
E4,E,group,GER,CIV,2026-06-20 23:00,,scheduled,0,,,3,1,,
E5,E,group,CUW,CIV,2026-06-25 23:00,,scheduled,0,,,0,4,,
E6,E,group,ECU,GER,2026-06-25 23:00,,scheduled,0,,,1,1,,
F1,F,group,NED,JPN,2026-06-14 23:00,Dallas,finished,96,2.0,2.0,2,1,0.0,0.0
F2,F,group,SWE,TUN,2026-06-15 05:00,,finished,96,5.0,1.0,1,0,0.0,0.0
F3,F,group,JPN,TUN,2026-06-21 07:00,,scheduled,0,,,2,0,,
F4,F,group,NED,SWE,2026-06-20 20:00,,scheduled,0,,,2,0,,
F5,F,group,SWE,JPN,2026-06-26 02:00,,scheduled,0,,,1,1,,
F6,F,group,TUN,NED,2026-06-26 02:00,,scheduled,0,,,0,3,,
G1,G,group,BEL,EGY,2026-06-15 22:00,Seattle,finished,96,1.0,1.0,2,0,0.0,0.0
G2,G,group,IRN,NZL,2026-06-16 04:00,,finished,96,2.0,2.0,1,0,0.0,0.0
G3,G,group,EGY,NZL,2026-06-22 04:00,,scheduled,0,,,2,0,,
G4,G,group,BEL,IRN,2026-06-21 22:00,,scheduled,0,,,3,0,,
G5,G,group,IRN,EGY,2026-06-27 06:00,,scheduled,0,,,1,1,,
G6,G,group,NZL,BEL,2026-06-27 06:00,,scheduled,0,,,0,4,,
H1,H,group,ESP,CPV,2026-06-15 19:00,Atlanta,finished,96,0.0,0.0,4,0,0.0,0.0
H2,H,group,KSA,URU,2026-06-16 01:00,Miami,finished,96,1.0,1.0,0,2,0.0,0.0
H3,H,group,URU,CPV,2026-06-22 01:00,,scheduled,0,,,3,0,,
H4,H,group,ESP,KSA,2026-06-21 19:00,Atlanta,scheduled,0,,,2,0,,
H5,H,group,CPV,KSA,2026-06-27 03:00,,scheduled,0,,,1,1,,
H6,H,group,URU,ESP,2026-06-27 03:00,Mexico City,scheduled,0,,,0,1,,
I1,I,group,FRA,SEN,2026-06-16 22:00,New Jersey,scheduled,0,,,2,1,,
I2,I,group,IRQ,NOR,2026-06-17 01:00,Massachusetts,scheduled,0,,,0,3,,
I3,I,group,FRA,IRQ,2026-06-23 00:00,Philadelphia,scheduled,0,,,4,0,,
I4,I,group,NOR,SEN,2026-06-23 03:00,New Jersey,scheduled,0,,,1,1,,
I5,I,group,NOR,FRA,2026-06-26 22:00,Massachusetts,scheduled,0,,,1,2,,
I6,I,group,SEN,IRQ,2026-06-26 22:00,Toronto,scheduled,0,,,2,0,,
J1,J,group,ARG,ALG,2026-06-17 04:00,Kansas City,scheduled,0,,,2,0,,
J2,J,group,AUT,JOR,2026-06-17 07:00,,scheduled,0,,,3,0,,
J3,J,group,ARG,AUT,2026-06-22 20:00,Texas,scheduled,0,,,2,1,,
J4,J,group,JOR,ALG,2026-06-23 06:00,,scheduled,0,,,0,2,,
J5,J,group,ALG,AUT,2026-06-28 05:00,Kansas City,scheduled,0,,,1,2,,
J6,J,group,JOR,ARG,2026-06-28 05:00,Texas,scheduled,0,,,0,4,,
K1,K,group,POR,COD,2026-06-17 20:00,Houston,scheduled,0,,,3,0,,
K2,K,group,UZB,COL,2026-06-18 05:00,Mexico City,scheduled,0,,,0,2,,
K3,K,group,COL,COD,2026-06-24 05:00,Guadalajara,scheduled,0,,,3,1,,
K4,K,group,POR,UZB,2026-06-23 20:00,Houston,scheduled,0,,,4,0,,
K5,K,group,COD,UZB,2026-06-28 02:30,Atlanta,scheduled,0,,,1,1,,
K6,K,group,COL,POR,2026-06-28 02:30,Miami,scheduled,0,,,1,1,,
L1,L,group,ENG,CRO,2026-06-17 23:00,Arlington,scheduled,0,,,1,0,,
L2,L,group,PAN,CRO,2026-06-24 02:00,Foxborough,scheduled,0,,,0,2,,
L3,L,group,ENG,GHA,2026-06-23 23:00,Foxborough,scheduled,0,,,2,0,,
L4,L,group,CRO,GHA,2026-06-28 00:00,Philadelphia,scheduled,0,,,1,1,,
L5,L,group,PAN,ENG,2026-06-28 00:00,New Jersey,scheduled,0,,,0,4,,
L6,L,group,GHA,PAN,2026-06-18 02:00,,scheduled,0,,,2,1,,
